@relation C__Users_sky_Dropbox_FAU_Summer2016_Homework3_spam

@attribute text string
@attribute @@class@@ {Normal,Spam}

@data
'Dear Colleagues,\r\n\r\nThe guidelines for Bioinformatics consortium grant application is described below. Dr. Narayanan will be working with you over the next few weeks.  Please feel free to contact him at (rnarayan@fau.edu<mailto:rnarayan@fau.edu>) for any questions.  Also, I have attached a list of the consortium members should you need to contact any of them.\r\n\r\n \r\n\r\nI am looking forward to your proposals.\r\n\r\n \r\n\r\nGuidelines for Bioinformatics consortium grant application\r\n\r\n \r\n\r\n* *\r\n\r\n \r\n\r\n*Deadline:  March 23, 2007*. Submit by E-Mail to Camille Coley at cccoley@fau.edu.\r\n\r\n \r\n\r\n*Page limit-* Maximum 40 pages including references. It can be 10-20 pages if there are no preliminary results.\r\n\r\n \r\n\r\n*Description:* Divide the sections into\r\n\r\n \r\n\r\nAbstract (can be the same as submitted), \r\n \r\n\r\nBackground, \r\n \r\n\r\nSpecific aims, \r\n \r\n\r\nPreliminary results (if any) and experimental approaches/design with timeframe, \r\n \r\n\r\nCritical issues, \r\n \r\n\r\nSignificance and \r\n \r\n\r\nReferences. \r\n \r\n\r\n*Budget:* At the end of the text include a budget (2-3 pages). Provide a brief justification for each request. At this point this is simply to get a rough idea of the projected cost for the proposal.\r\n\r\n \r\n\r\n*Allowable costs:* Institutionally allowable percentage of PI/CoPI salary and benefits, student stipend and tuition waiver, post doctoral / technician salary, supplies, instruments, computers and soft wares, publication and page charges and reasonable travel support to present data for key personnel. For all personnel including students, indicate the percent efforts (FTE) and the nature of contribution to the project. If no cost is requested for PI/ CoPI, indicate none.  Total percent effort of each person can not exceed 100\% including the ongoing projects. For collaborators yet to be identified, indicate TBA, but provide a justification for their role and percent effort.\r\n\r\n \r\n\r\n*Timeframe:* maximum three years (2008-2011).\r\n\r\n \r\n\r\n*Total estimated cost:* Show direct cost only for the timeframe of the project. Add three percent cost increase for succeeding years.\r\n\r\n \r\n\r\n \r\n\r\nLarry F. Lemanski, Ph.D.\r\n\r\nVice President for Research\r\n\r\nPresident of the FAU Research Corporation\r\n\r\nProfessor of Biomedical Sciences\r\n\r\nFlorida Atlantic University\r\n\r\n777 Glades Road \r\n\r\nAdm Bldg., Room 208\r\n\r\nBoca Raton, FL 33431\r\n\r\n',Normal
'Did you know men & women in your area are looking to meet other adults for fun & pleasure.\r\n\r\nWe have over 2 million registered users who are looking for the same things as you. \r\n \r\nFill out your free profile here and stop being alone today.\r\n\r\nhttp://greatfundate.com/meet/boo/ \r\n',Spam
'Dear Colleagues:\r\n\r\nThank you for your rapid response to the Bioinformatics RFP. We are currently working on an umbrella agreement for all the consortium members. In the meantime, I am attaching a .pdf version of the project descriptions from all the investigators.  You will notice that several projects have common interests and offer an opportunity for strong collaboration.  Please feel free to contact the PIs of other projects, if you feel that your project can benefit by collaboration. Dr. Ram Narayanan will be organizing a meeting of the PIs within the next month.\r\n\r\nAs a next step, we ask that each PI send an NIH formatted resume before Jan 31, 2007.  Attached is a template for the NIH resume. To help you prepare the grant application, the deadline schedule is:\r\n\r\nResumes due – Jan. 31st\r\n\r\nMeeting of all PIs – Feb. TBD\r\n\r\nCompleted package - April 1st \r\n\r\nAs always, please feel free to contact me should you have any questions.\r\n\r\nSincerely,\r\n\r\n \r\n\r\nLarry F. Lemanski, Ph.D.\r\n\r\n',Normal
'Warning alarm this incredible amazing opportunity possibility to make our profits.\r\nI have heard something great will occur on todays morning with another one.\r\n\r\nNice start for today.\r\nIt\'s going to be HOT one. \r\nBid rised already...\r\n\r\nEveryone buyg and for waiting company news.\r\nLook at lvl2 and volume.\r\n\r\n\r\nit probaly break .08 mark witout problems today. Jump in.\r\nNMXC will make our profits.\r\n',Spam
'Dear Yong Suk Lee,\r\n\r\nAttached is your Payroll Remittance Advice. The password to open the \r\nfile includes the first 4 characters of your last name plus the last 4 \r\ndigits of your Social Security Number. Please note that your password \r\nis case sensitive. Normally, only the first character should be in caps \r\nand everything else is lower case. However, if your last name is \r\nspelled with multiple upper case letters, or if it has any special \r\ncharacters or spaces, these characters or spaces will be part of your \r\npassword. If for example your last name is Mc Donald, and your social \r\nsecurity number is 123 45 6789, your password will be Mc D6789 (the \r\nspace will be one of the four characters).\r\n\r\nIf your last name is less than four characters long, use your full \r\nname, followed by X\'s (in caps) to come up with the four characters \r\nplus the last four digits of your social security number. For example, \r\nif your last name is Li and your social security number is 123-45-6789, \r\nyour password is LiXX6789.\r\n\r\nNOTE:  The attached file is in an Acrobat Reader PDF document.  If you \r\ncannot read this document, please download the FREE Acrobat Reader at goodd06',Normal
'How many times did you get unhappy after noticing the clothes you buy keep getting larger? 0be-sity\r\ndoes not only affect the way you look and feel about yourself. It is\r\nalso dangerous for your health, bringing plenty of health problems in a\r\nvariety of spheres. And of course feeling shy to take off your clothes\r\non a beach or in bed with your special one is so saddening.\r\n\r\nYou don\'t have to spend the rest of your life exercising yourself to\r\ndeath. You also don\'t have to experiment with suspicious po+und-fighting\r\nproducts. The only option you need is An+atrim! Its completely naturaI\r\nblend of ingredients attacks o`besity like nothing else and suppresses\r\nyour appetite, putting your mind in control of your e/ating. It also\r\neasily integrates into existing di-ets and has no side effects - your e_ating, your look and your mood get improved fast! Getting rid of extra po~unds\r\nnow is safe and enjoyable. Ana trim boosts not only your confidence but\r\nhelps your body produce tons of natural energy!\r\n',Spam
'Good Morning, \r\n\r\nPresently, your email account is set to auto-purge email messages older than 14 days from your \"Spamscreen\" folder on the MIT mail system. \r\n\r\nIS&T wishes to alert you to an upcoming change in this service effective Monday, October 4th, 2004. We will extend the age of messages to be purged from your \"Spamscreen\" folder from 14 days or greater to 21 days or greater as of this change. This change is necessitated by another important upcoming enhancement in our service. Shortly, we will begin automatically creating \"Spamscreen\" folders for all new accounts. We are increasing the age of messages to be purged by one week to allow additional time for new MIT colleagues and students to acclimate to our environment and this important service. \r\n\r\nMore information about our service is available at: \r\n\r\n<http://web.mit.edu/ist/services/email/nospam/> \r\n\r\nBelow, please find the Community-wide announcement which includes more complete information about these enhancements. If you have additional comments, suggestions or questions, please feel free to contact the IS&T Computing Help Desk, <computing-help@mit.edu> or me. \r\n\r\nCheers,\r\nTheresa \r\n\r\n',Normal
'We have ALL popular meds.\r\n- Only FDA Approved Drugs\r\n- Fully Confidential\r\n- Next Day Priority Shipping\r\n- No Doctor Visits\r\n- All countries shipping\r\n- Secure Order\r\n- WHOLESALE PRICE FROM $1.14/PILL\r\n- Discreet Packaging\r\n- Buy in Bulk and Save!\r\n',Spam
'After discussions with key users around campus, Information Services and Technology (IS&T) is reducing support on December 31, 2004 for the applications listed below. \r\n\r\nOur review suggests that in order to maintain quality support for key applications in use, to improve responsiveness to new vendor releases, and to make it possible to introduce new product offerings, it is necessary to downgrade the support we will provide in the future for the following older applications. These products will not be tested in association with future releases, new documentation will not be produced, and new training will not be scheduled. \r\n\r\nSoftware slated for retirement on December 31, 2004\r\n',Normal
'January 30, 2007\r\n\r\nDear Florida Resident,\r\n\r\nBiscayne Bay and its associated coastal ecosystems are some of Florida’s most valuable natural resources.  The bay provides habitat for a productive and diverse community of tropical marine plants and animals.  It offers a variety of commercial and recreational opportunities to visitors and the residents of Metropolitan Miami-Dade County. But throughout the last century, rapid population growth, urbanization, and development of the Miami-Dade County area have significantly altered Biscayne Bay.\r\n\r\nEfforts are underway to preserve, protect, and restore Biscayne Bay and the surrounding coastal habitats.  Since 1987, Miami-Dade Department of Environmental Resources Management (DERM) has completed 40 habitat restoration projects (22 coastal sites and on 18 island sites) along and in Biscayne Bay. DERM has restored and enhanced the following south Florida ecosystem components: 70-acres of tropical hardwood hammock, 30-acres of dune/coastal strand, 400 acres of coastal wetlands (mangrove forest, salt marsh, fresh/ brackish water wetlands), and 3-acres of seagrass. Approximately 100 native species are presently being used to restore dune, coastal strand, tropical hardwood hammock, isolated freshwater wetlands, marine wetlands, and submerged aquatic vegetation communities throughout the coastal areas of southeast Florida.  The projects primarily consist of removing exotic vegetation and planting native vegetation at most sites to recreate pref! erred types of coastal communities. Additional activities include providing recreational amenities (boat docking facilities and picnic areas on public lands).\r\n\r\nThis survey which is funded by the Florida Department of Environmental Protection and administered through the University of Florida seeks your opinion about Biscayne Bay restoration programs. \r\n\r\nYou have been chosen as part of a small sample of Miami Dade residents asked to complete an online survey. Your participation is completely voluntary. Completion of the survey should take no longer than 10 minutes. You must be 18 years or older to complete the survey. You are assured of complete confidentiality. Participation is totally anonymous. Results will only be reported as summarized data.\r\n\r\nThank you very much for helping us with this study, your responses to these questions are vital to this work. If you have questions about this research please contact Ms. Frida Bwenge, Graduate Research Assistant, University of Florida, fbwenge@ufl.edu, 352-514-5369, Box 110240, UF, McCarty Hall, Gainesville Florida, 32611, \r\n\r\nPlease complete the survey by February 10, 2007.\r\n\r\n',Spam
'Please review the plan above and let us know by <Date TBD> if retiring any of this software from general support imposes a significant burden to your Department and/or the client community you support by sending email to swrt@mit.edu. If significant burdens are apparent, we are prepared to work with you to find solutions to ease the difficulties in migrating to a more current environment. \r\n\r\nIn closing, we appreciate the Community\'s assistance and involvement in Software Release and look forward to your responses by <insert date> \r\n\r\nDeb Bowser\r\nQA Coordinator - Client Support Services\r\nInformation Services and Technology (IS&T)\r\n\r\n',Normal
'Since the early childhood I was called an ugly duckling. When I became a teenager,\r\nI realized that no girl would ever pay attention to me.\r\nCollege life with no girlfriend was even worse.\r\nA year ago I stumbled across the advertisement of Ultra Allure Pheromones.\r\nI didn’t believe in miracles but I felt so desperate so I had nothing to lose.\r\nOn the first day I tried it, 5 women smiled at me. And in a week I went out for the first date of my life.\r\nSince then I have no problems with women and can’t imagine my life without Ultra Allure Pheromones.\r\n\r\nTim,\r\nIndiana.\r\n',Spam
'Dear Xingquan Zhu,\r\n\r\nYour new PDF is ready for the following title:\r\n\r\nSource Filename: icde07-zhu-wu.doc\r\nTitle: Discovering Relational-Patterns across Multiple Databases \r\nPaper ID: 326589\r\nPDF Filename: 326589.pdf\r\n\r\nA copy of your IEEE Xplore compatible PDF is attached to this email. You can also download it from your PDF eXpress account.\r\n\r\nWe recommend you check the PDF carefully. Examine each page on screen and in print to ensure everything looks as you intend.\r\n\r\nIf you are not satisfied with your PDF, you may go back to your account and submit another source file for conversion, or submit a PDF that you produce for Checking.\r\n\r\nIf there is any other issue with your PDF, you may go back to your account and Request a Manual Conversion: your submission will be sent to Technical Support for special handling.\r\n',Normal
'We are pleased to inform you of the result of the just concluded annual final draws of LUXATREL  HIGH-STAKE INTERNATIONAL LOTTERY PROGRAM.\r\n \r\nThe online Cyber Lotto Email draws was conducted by a random selection of email addresses from an exclusive list of 500,000 E-mail addresses of individuals and corporate bodies picked by an advanced automated random computer search from the internet. However, no tickets were sold but all email addresses were assigned to different ticket numbers for representation and privacy.\r\n \r\nAfter this automated computer ballot, your e-mail address emerged as one of twelve winners in the first category with the following data\r\n',Spam
'Dear Faculty,\r\n\r\nI am planning to organize the second faculty meeting of the term on Friday April 6, 11:30AM-1:00PM. Dean Stevens has agreed to make it a lunch meeting, again, because the cost of catering is worth faculty participation. I understand that some of the cost is out of the Dean’s pocket so “thank you, Karl.” \r\n\r\nThe reason for this email is \r\n\r\nTo solicit agenda items from you. If you have any college or university related matter you would like to get a faculty discussion on or would like to hear the view from the Dean’s office, please let me know. If you wish to submit a question but do not want your name revealed, I promise to abide by your wish. (Of course you have to trust meJ ). Email me, call me or stop by my office to talk to me. \r\nTo ask you to let Colleen Glazer glazer@fau.edu know if you will not be able to attend the meeting.  \r\n \r\n\r\nThank you very much.\r\n\r\n \r\n\r\nCollegially yours,\r\n\r\nNurgun Erdol\r\n\r\nFaculty President\r\n\r\nCollege of Engineering and Computer Science\r\n\r\n \r\n\r\n \r\n\r\nNurgun Erdol, Ph. D.\r\n\r\nProfessor\r\n\r\nDepartment of Electrical Engineering\r\n\r\nFlorida Atlantic University\r\n\r\nBoca Raton, FL 33431\r\n\r\nUSA\r\n\r\nhttp://www.ee.fau.edu/faculty/erdol.htm\r\n\r\nTel: (1) 561.297.3409\r\n\r\nFax:(1) 561.297.2336\r\n\r\n \r\n\r\n \r\n\r\n \r\n',Normal
'Don\'t know where to buy pills?\r\nWant to be the best with your girlfriend?\r\nWe will help you!\r\nBest US pharmacy discounts for you.\r\n\r\nGet our present for your health!!!',Spam
'Dear IPUMS User,\r\n\r\nOnce again it\'s grant writing time, and once again IPUMS urgently needs \r\nyour help!  Later this month we will apply to the National Institutes of \r\nHealth for the renewal of the main grant funding the IPUMS-USA database. \r\n  Continued funding for the IPUMS data series is contingent on its \r\ncontinued use by the academic and professional research community.\r\n\r\nIt is crucial, therefore, to have a complete list of both published and \r\nforthcoming books, articles, dissertations (completed and in progress), \r\nconference papers, working papers, research reports, fact sheets, and \r\nnewspaper stories that have used IPUMS data. We are also interested in \r\nnews of any classroom or other pedagogical use of the IPUMS, so if you \r\nhave used the data in a course please let us know.\r\n\r\nIf you have done any research using the IPUMS, please visit our \r\nbibliography at http://bibliography.ipums.org to see if we have it.  If \r\nsomething is missing or if you find errors, you can enter the citation \r\nonline or just email the information to ipums@pop.umn.edu.  We suspect \r\nthat a substantial quantity of research published in books and \r\ncollections of essays is missing from our bibliography, since there are \r\nno citation indexes available for those sources.  We would appreciate if \r\nyou can make any additions or corrections to our bibliography as soon as \r\npossible.\r\n\r\nWe would also appreciate it if you would forward this message to any \r\nIPUMS users who may not be registered for our data extraction system; \r\nthis is especially important for people at research centers who may \r\nobtain the data indirectly.\r\n\r\nIf you received this message in error, please accept my apology; it is \r\nsent to everyone who has registered to use the IPUMS unless they have \r\nremoved themselves from our user list. To remove yourself, click on the \r\nlink at the bottom of the page or send a message to ipums@pop.umn.edu.\r\n\r\nThanks for your prompt reply...we really appreciate your help!\r\n\r\nSincerely,\r\n\r\nSteve Ruggles\r\nPrincipal Investigator\r\n',Normal
'Hoodia Maximum Strength diet pills give you the freedom and control you \r\nhave always wanted. It allows you to lose weight with the comfort of \r\nknowing that you will never miss a luncheon, dinner, or celebration again \r\nfor fear of overeating. \r\n\r\nThe new Hoodia Maximum Strength diet pill kills the appetite and attacks \r\nobesity. It is organic with no synthetic or artificial appetite control \r\nagents. There are no known side effects. It contains a miracle molecule (up \r\nto 100,000 times more powerful than glucose) that fools the brain into \r\nbelieving you are full. Amazingly, it even stops you from even THINKING \r\nabout food! But it actually does even more than THAT. Hoodia Maximum \r\nStrength pills also have a natural feel-good aphrodisiac quality. The \r\nHoodia wonder plant is said to give the San tribesman abundant energy to \r\nhunt by and day and superhuman-like strength to make love all night long! \r\nIt is also said to cure hangovers and upset stomachs as well.',Spam
'ICWE invites proposals for tutorials that will provide conference participants with the opportunity to gain knowledge and insights in a broad range of Web engineering areas. Participants at the tutorials include researchers, scientists and practitioners who are seeking to gain a better understanding of the technologies, methodologies, tools, and techniques used to develop and maintain Web-based applications. A one-page summary of the accepted tutorials will be included in the conference proceedings.\r\n\r\nProposed tutorials can be either 1.5 or 3 hours long. Tutorials should address issues related to the topics of the conference. Topics not mentioned in the general conference list are also encouraged as long as they are of special interest and relevance to ICWE.\r\n\r\nPROPOSAL FORMAT\r\nProposals must be no more than 3 pages and must provide a sense of both the scope of the tutorial and depth within the scope. The intended length of the tutorial (1.5 or 3 hours) should also be indicated, together with justification that a high-quality presentation will be achieved within the chosen time period and the indication of the main learning outcomes. \r\n\r\nIn detail, tutorial proposals must include the following information:\r\n\r\n- Tutorial title\r\n- Tutorial abstract: 1-2 paragraphs describing the contents and goals of the tutorial to be included in the conference registration materials.\r\n- Intended Length: 1.5 or 3 hours\r\n- Description of the tutorial providing the scope (general topic area) and depth of the proposal, as well as its aims and learning outcomes.\r\n- Intended audience and the assumed background \r\n- Presenter(s) contact information: name, affiliation, email, and optionally mailing address, phone and fax numbers\r\n- Presenter(s) short biography demonstrating that she/he is an expert on the subject of the tutorial to be included in the conference registration material\r\n- Relevant references\r\n- If the proposed tutorial has been given previously, indication of the event where the tutorial has been given and how it will be modified for ICWE 2007\r\n- Sample slides - if available\r\n\r\n\r\nPROPOSAL SUBMISSION \r\nProposals must be submitted electronically to the Tutorial Chair (mpetropo@cse.buffalo.edu) in PDF format. For additional questions or clarifications please feel free to contact the ICWE 2007 Tutorial Chair.\r\n\r\nPUBLICATION OF ACCEPTED TUTORIALS\r\nUpon acceptance, presenters of accepted tutorials will be required to prepare a one-page summary of the tutorial by the camera-ready copy deadline to be included in the Springer Verlag LNCS official proceedings of the conference (on paper and on CD). Presenters should also make the slides available to the ICWE participants, either in hardcopy form or on-line.\r\n\r\nIMPORTANT DATES\r\n- Tutorial submission deadline: February 17, 2007\r\n- Notification of acceptance: April 1, 2007\r\n- Camera-ready copy of the one-page summary: April 19, 2007\r\n',Normal
